pH,TDS,DO,EC,SUM_Label
8.23,65.27,11.25,130.5429077,1
8.12,65.34,10.78,130.6703393,1
8.31,61.61,10.62,123.2259051,1
8.22,393.77,10.74,787.5466811,1
8.15,468.47,10.05,936.9452033,2
7.77,485.26,9.53,970.5150007,2
8.15,462.97,8.61,925.9436156,2
8.03,503.87,8.46,1007.732936,1
8.00,499.01,7.87,998.0187643,2
8.29,605.35,8.45,1210.706425,1
8.17,552.88,7.54,1105.765636,1
8.12,567.94,6.33,1135.882179,1
8.38,513.13,6.55,1026.266285,1
8.20,524.53,6.08,1049.063517,1
8.16,460.20,6.89,920.4075254,2
