timestamp,pH,TDS,Alk,DO,Nitrite ,Ammonia ,Temperature
14/9/64,8.01,340.5,136,8,0,0.25,30.5
15/9/64,8.19,353,136,8,0,0.25,30
16/9/64,8.24,355,136,8,0,0.25,29
17/9/64,8.22,351.5,136,8,0,0.25,29
18/9/64,8.17,350.5,136,8,0,0.25,29.5
19/9/64,8.22,353.5,136,8,0,0.25,29.5
20/9/64,8.19,357,136,8,0,0.25,28.5
21/9/64,8.11,361,136,8,0,0.25,28.5
22/9/64,8.09,357.5,136,8,0,0.25,28.5
23/9/64,7.88,365.5,136,8,0,0.25,28.5
24/9/64,7.88,385,136,8,0,0.25,28.5
25/9/64,7.98,395,136,8,0,0.25,28.5
27/9/64,7.99,396,136,8,0,0.25,28
28/9/64,8.07,388.5,136,8,0,0.25,30
29/9/64,8,392.5,136,8,0,0.25,29.5
30/9/64,7.9,393,136,8,0,0.25,29.5
1/10/1964,7.92,395.5,136,8,0,0.25,29.5
2/10/1964,7.93,395,136,8,0,0.25,30
5/10/1964,7.97,394.5,136,8,0,0.25,30
7/10/1964,7.96,401,136,8,0,0.25,29
8/10/1964,7.9,397,136,8,0,0.25,29.5
9/10/1964,8.1,402,136,8,0,0.25,30
13/10/64,8.14,414.5,136,8,0,0.25,29
14/10/64,7.85,415.5,136,8,0,0.25,29
15/10/64,8.04,427,136,8,0,0.25,29
16/10/64,7.93,423,136,8,0,0.25,29
19/10/64,7.94,429,136,8,0,0.25,29.5
20/10/64,7.98,433,136,8,0,0.25,28
21/10/64,7.63,323.5,127.5,9.25,0,0,29.5
22/10/64,7.54,310,136,7,0.1,0.25,29.5
25/10/64,7.83,311.5,136,7,0.1,0.125,29.5
26/10/64,7.95,310.5,136,7,0,0.25,29.5
27/10/64,7.86,318,136,7,0,0.25,28
28/10/64,7.71,314.5,136,8,0,0.25,28
29/10/64,7.86,316.5,136,7,0,0.25,27.5
30/10/64,7.88,321.5,127.5,8.75,0,0.25,28
1/11/1964,7.79,313.5,127.5,7,0,0.25,27.5
2/11/1964,7.77,308.5,119,7,0,0.25,28
3/11/1964,7.81,323,119,7.5,0,0.25,27.5
4/11/1964,7.83,322.5,119,7,0,0.25,27.5
5/11/1964,7.78,322,119,8,0,0.25,28
6/11/1964,7.78,332.5,119,7,0,0.25,28
8/11/1964,7.49,331,119,8,0.1,0.25,28.5
9/11/1964,7.76,326.5,119,8,0,0.25,28.5
10/11/1964,7.78,332.5,119,8,0.1,0.25,28
11/11/1964,7.81,322.5,119,8,0,0.25,28
12/11/1964,7.41,322,119,8,0,0.25,25
13/11/64,7.1,320,136,7,0,0.25,26
15/11/64,7.38,330.5,136,7,0,0.25,27
16/11/64,7.31,323.5,136,7,0,0.25,28
17/11/64,7.38,323,136,7,0,0.25,28.5
18/11/64,7.61,333.5,136,7,0,0.25,28.5
19/11/64,7.61,323,127.5,7,0,0.25,29.5
20/11/64,7.84,321.5,136,7,0,0.25,31
22/11/64,7.39,336,119,9.25,0,0.25,29
23/11/64,7.64,332,119,8.5,0,0.25,28
24/11/64,7.74,324,119,8.5,0,0.25,27
25/11/64,7.77,331,119,8.5,0,0.25,25.5
26/11/64,7.31,326,110.5,8,0,0.25,26
29/11/64,7.46,323,127.5,8,0,0.25,27
30/11/64,7.55,328,119,8,0,0.25,27.5
1/12/1964,7.78,330.5,127.5,8,0,0.25,26.5
2/12/1964,7.54,325.5,119,8.25,0,0.25,26
3/12/1964,7.74,332,119,8,0,0.25,25.5
4/12/1964,7.76,332,119,8,0,0.25,25.5
7/12/1964,7.76,330.5,119,8,0,0.25,26
8/12/1964,7.85,332.5,127.5,8,0,0.25,26.5
9/12/1964,7.76,332,119,8,0,0.25,27
