date_a,ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a,temperature_a
1,7.88,342,136,8,0,0.25,30
2,8.17,349,136,8,0,0.25,29
3,8.22,352,136,8,0,0.25,28
17092021,8.26,356,136,8,0,0.25,28
18092021,8.19,357,136,8,0,0.25,28
19092021,8.2,355,136,8,0,0.25,28
20092021,8.15,357,136,8,0,0.25,28
21092021,8.09,361,136,8,0,0.25,28
22092021,8.11,359,136,8,0,0.25,28
23092021,7.79,364,136,8,0,0.25,28
24092021,7.84,386,136,8,0,0.25,28
25092021,7.99,395,136,8,0,0.25,29
26092021,7.94,397,136,8,0,0.25,27
27092021,8.04,383,136,8,0,0.25,31
28092021,8.05,390,136,8,0,0.25,29
29092021,7.9,390,136,8,0,0.25,29
01102021,7.9,394,136,8,0,0.25,29
02102021,7.96,397,136,8,0,0.25,29
05102021,7.75,387,136,8,0,0.25,29
07102021,7.72,387,136,8,0,0.25,29
08102021,7.78,391,136,8,0,0.25,29
09102021,7.9,395,136,8,0,0.25,30
13102021,8.14,409,136,8,0,0.25,29
14102021,7.71,416,136,8,0,0.25,29
15102021,8.04,408,136,8,0,0.25,29
16102021,7.79,421,136,8,0,0.25,29
19102021,7.85,439,136,8,0,0.25,29
20102021,7.9,453,136,8,0,0.25,29
21102021,7.62,320,119,8,0,0,29
22102021,7.49,308,136,6,0.1,0.25,29
25102021,7.8,312,136,6,0.1,0,29
26102021,7.92,303,136,6,0,0.25,29
27102021,7.87,307,136,6,0,0.25,29
28102021,7.56,302,136,6,0,0.25,29
29102021,7.85,316,136,6,0,0.25,28
30102021,7.84,315,136,9.5,0,0.25,29
01112021,7.79,308,136,6,0,0.25,28
02112021,7.72,302,119,6,0,0.25,29
03112021,7.81,320,119,9,0,0.25,28
04112021,7.79,320,119,8,0,0.25,28
05112021,7.83,322,119,8,0,0.25,28
06112021,7.77,336,119,8,0,0.25,28
08112021,7.25,334,119,8,0.1,0.25,28
09112021,7.64,331,119,8,0,0.25,28
10112021,7.73,337,119,8,0.1,0.25,28
11112021,7.78,326,119,8,0,0.25,28
12112021,7.74,325,119,8,0,0.25,24
13112021,7.12,320,136,6,0,0.25,26
15112021,7.31,327,136,6,0,0.25,27
16112021,7.27,324,136,6,0,0.25,28
16112022,8.14,339,136,8,0,0.25,31
16112023,8.21,357,136,8,0,0.25,31
16112024,8.25,358,136,8,0,0.25,30
16112025,8.17,347,136,8,0,0.25,30
16112026,8.14,344,136,8,0,0.25,31
16112027,8.24,352,136,8,0,0.25,31
16112028,8.22,357,136,8,0,0.25,29
16112029,8.12,361,136,8,0,0.25,29
16112030,8.06,356,136,8,0,0.25,29
16112031,7.96,367,136,8,0,0.25,29
16112032,7.92,384,136,8,0,0.25,29
16112033,7.97,395,136,8,0,0.25,28
16112034,8.03,395,136,8,0,0.25,29
16112035,8.09,394,136,8,0,0.25,29
16112036,7.95,395,136,8,0,0.25,30
16112037,7.9,396,136,8,0,0.25,30
16112038,7.94,397,136,8,0,0.25,30
16112039,7.9,393,136,8,0,0.25,31
16112040,8.19,402,136,8,0,0.25,31
16112041,8.19,415,136,8,0,0.25,29
16112042,8.02,403,136,8,0,0.25,30
16112043,8.3,409,136,8,0,0.25,30
16112044,8.14,420,136,8,0,0.25,29
16112045,7.98,415,136,8,0,0.25,29
16112046,8.03,446,136,8,0,0.25,29
16112047,8.07,425,136,8,0,0.25,29
16112048,8.02,419,136,8,0,0.25,30
16112049,8.05,413,136,8,0,0.25,27
16112050,7.63,327,136,10.5,0,0,30
16112051,7.58,312,136,8,0,0.25,30
16112052,7.85,311,136,8,0,0.25,30
16112053,7.98,318,136,8,0,0.25,30
16112054,7.84,329,136,8,0,0.25,27
16112055,7.85,327,136,10,0,0.25,27
16112056,7.87,317,136,8,0,0.25,27
16112057,7.92,328,119,8,0,0.25,27
16112058,7.79,319,119,8,0,0.25,27
16112059,7.82,315,119,8,0,0.25,27
16112060,7.8,326,119,6,0,0.25,27
16112061,7.87,325,119,6,0,0.25,27
16112062,7.73,322,119,8,0,0.25,28
16112063,7.79,329,119,6,0,0.25,28
16112064,7.72,328,119,8,0,0.25,29
16112065,7.87,322,119,8,0,0.25,29
16112066,7.82,328,119,8,0,0.25,28
16112067,7.83,319,119,8,0,0.25,28
16112068,7.07,319,119,8,0,0.25,26
16112069,7.07,317,136,8,0,0.25,26
16112070,7.44,334,136,8,0,0.25,27
16112071,7.34,323,136,8,0,0.25,28
