Temp,TDS,EC,Nitrite,Ammonia,Alk,DO,pH,SUM_Label
27.6,27,44,0.05,0,17,10.5,7.75,1
27.9,27,54,0,0,34,12,7.75,1
26.5,27.5,55,0,0,25.5,12,7.25,1
27.7,27.5,55,0,0,17,11,7.5,1
27.7,28,56,0,0,17,12.25,7.25,1
27.8,28,56,0,0,25.5,11.5,7.5,1
27.3,28,56,0,0,41,11.75,7.5,2
27.2,28,56,0,0,25.5,11,7.25,1
27.5,28,56,0,0,25.5,11.75,7.5,1
0,0,0,0,0,0,0,0,1
27.7,28,56,0,0,25.5,12,7.25,1
25.9,28,56,0,0,17,12.5,7.5,1
25.6,28,56,0,0,17,11.75,7.5,1
25.6,27.5,55,0,0,40,10.5,7,2
25.2,27.5,55,0,0,40,10.5,7,2
