tds,alk,do,nitrite,ammonia,temperature,ph
340.5,136,8,0,0.25,30.5,8
353,136,8,0,0.25,30,8.2
355,136,8,0,0.25,29,8.2
351.5,136,8,0,0.25,29,8.2
350.5,136,8,0,0.25,29.5,8.2
353.5,136,8,0,0.25,29.5,8.2
357,136,8,0,0.25,28.5,8.2
361,136,8,0,0.25,28.5,8.1
357.5,136,8,0,0.25,28.5,8.1
365.5,136,8,0,0.25,28.5,7.9
385,136,8,0,0.25,28.5,7.9
395,136,8,0,0.25,28.5,8
396,136,8,0,0.25,28,8
388.5,136,8,0,0.25,30,8.1
392.5,136,8,0,0.25,29.5,8
393,136,8,0,0.25,29.5,7.9
395.5,136,8,0,0.25,29.5,7.9
395,136,8,0,0.25,30,7.9
394.5,136,8,0,0.25,30,8
401,136,8,0,0.25,29,8
397,136,8,0,0.25,29.5,7.9
402,136,8,0,0.25,30,8.1
414.5,136,8,0,0.25,29,8.1
415.5,136,8,0,0.25,29,7.8
427,136,8,0,0.25,29,8
423,136,8,0,0.25,29,7.9
429,136,8,0,0.25,29.5,7.9
433,136,8,0,0.25,28,8
323.5,127.5,9.25,0,0,29.5,7.6
310,136,7,0.05,0.25,29.5,7.5
311.5,136,7,0.05,0.13,29.5,7.8
310.5,136,7,0,0.25,29.5,8
318,136,7,0,0.25,28,7.9
314.5,136,8,0,0.25,28,7.7
316.5,136,7,0,0.25,27.5,7.9
321.5,127.5,8.75,0,0.25,28,7.9
313.5,127.5,7,0,0.25,27.5,7.8
308.5,119,7,0,0.25,28,7.8
323,119,7.5,0,0.25,27.5,7.8
322.5,119,7,0,0.25,27.5,7.8
322,119,8,0,0.25,28,7.8
332.5,119,7,0,0.25,28,7.8
331,119,8,0.05,0.25,28.5,7.5
326.5,119,8,0,0.25,28.5,7.8
332.5,119,8,0.05,0.25,28,7.8
322.5,119,8,0,0.25,28,7.8
322,119,8,0,0.25,25,7.4
318.5,136,7,0,0.25,26,7.1
330.5,136,7,0,0.25,27,7.4
323.5,136,7,0,0.25,28,7.3
