ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a,temperature_a
8,340.5,136,8,0,0.25,30.5
8.2,353,136,8,0,0.25,30
8.2,355,136,8,0,0.25,29
8.2,351.5,136,8,0,0.25,29
8.2,350.5,136,8,0,0.25,29.5
8.2,353.5,136,8,0,0.25,29.5
8.2,357,136,8,0,0.25,28.5
8.1,361,136,8,0,0.25,28.5
8.1,357.5,136,8,0,0.25,28.5
7.9,365.5,136,8,0,0.25,28.5
7.9,385,136,8,0,0.25,28.5
8,395,136,8,0,0.25,28.5
8,396,136,8,0,0.25,28
8.1,388.5,136,8,0,0.25,30
8,392.5,136,8,0,0.25,29.5
7.9,393,136,8,0,0.25,29.5
7.9,395.5,136,8,0,0.25,29.5
7.9,395,136,8,0,0.25,30
8,394.5,136,8,0,0.25,30
8,401,136,8,0,0.25,29
7.9,397,136,8,0,0.25,29.5
8.1,402,136,8,0,0.25,30
8.1,414.5,136,8,0,0.25,29
7.8,415.5,136,8,0,0.25,29
8,427,136,8,0,0.25,29
7.9,423,136,8,0,0.25,29
7.9,429,136,8,0,0.25,29.5
8,433,136,8,0,0.25,28
7.6,323.5,127.5,9.25,0,0,29.5
7.5,310,136,7,0.05,0.25,29.5
7.8,311.5,136,7,0.05,0.125,29.5
8,310.5,136,7,0,0.25,29.5
7.9,318,136,7,0,0.25,28
7.7,314.5,136,8,0,0.25,28
7.9,316.5,136,7,0,0.25,27.5
7.9,321.5,127.5,8.75,0,0.25,28
7.8,313.5,127.5,7,0,0.25,27.5
7.8,308.5,119,7,0,0.25,28
7.8,323,119,7.5,0,0.25,27.5
7.8,322.5,119,7,0,0.25,27.5
7.8,322,119,8,0,0.25,28
7.8,332.5,119,7,0,0.25,28
7.5,331,119,8,0.05,0.25,28.5
7.8,326.5,119,8,0,0.25,28.5
7.8,332.5,119,8,0.05,0.25,28
7.8,322.5,119,8,0,0.25,28
7.4,322,119,8,0,0.25,25
7.1,318.5,136,7,0,0.25,26
7.4,330.5,136,7,0,0.25,27
7.3,323.5,136,7,0,0.25,28
