date,pH,TDS,Alk,DO,Nitrite,Ammonia,Temperature,type
14/9/64,8.01,340.5,136,8,0,0.25,30.5,normal
15/9/64,8.19,353,136,8,0,0.25,30,normal
16/9/64,8.235,355,136,8,0,0.25,29,normal
17/9/64,8.215,351.5,136,8,0,0.25,29,normal
18/9/64,8.165,350.5,136,8,0,0.25,29.5,normal
19/9/64,8.22,353.5,136,8,0,0.25,29.5,normal
20/9/64,8.185,357,136,8,0,0.25,28.5,normal
21/9/64,8.105,361,136,8,0,0.25,28.5,normal
22/9/64,8.085,357.5,136,8,0,0.25,28.5,normal
23/9/64,7.875,365.5,136,8,0,0.25,28.5,normal
24/9/64,7.88,385,136,8,0,0.25,28.5,normal
25/9/64,7.98,395,136,8,0,0.25,28.5,normal
27/9/64,7.985,396,136,8,0,0.25,28,normal
28/9/64,8.065,388.5,136,8,0,0.25,30,normal
29/9/64,8,392.5,136,8,0,0.25,29.5,normal
30/9/64,7.9,393,136,8,0,0.25,29.5,normal
1/10/64,7.92,395.5,136,8,0,0.25,29.5,normal
2/10/64,7.93,395,136,8,0,0.25,30,normal
5/10/64,7.97,394.5,136,8,0,0.25,30,normal
7/10/64,7.955,401,136,8,0,0.25,29,normal
8/10/64,7.9,397,136,8,0,0.25,29.5,normal
9/10/64,8.1,402,136,8,0,0.25,30,normal
13/10/64,8.14,414.5,136,8,0,0.25,29,normal
14/10/64,7.845,415.5,136,8,0,0.25,29,normal
15/10/64,8.035,427,136,8,0,0.25,29,normal
16/10/64,7.93,423,136,8,0,0.25,29,normal
19/10/64,7.935,429,136,8,0,0.25,29.5,normal
20/10/64,7.975,433,136,8,0,0.25,28,warn
21/10/64,7.625,323.5,127.5,9.25,0,0,29.5,normal
22/10/64,7.535,310,136,7,0.05,0.25,29.5,normal
25/10/64,7.825,311.5,136,7,0.05,0.125,29.5,normal
26/10/64,7.95,310.5,136,7,0,0.25,29.5,normal
27/10/64,7.855,318,136,7,0,0.25,28,normal
28/10/64,7.705,314.5,136,8,0,0.25,28,normal
29/10/64,7.86,316.5,136,7,0,0.25,27.5,normal
30/10/64,7.88,321.5,127.5,8.75,0,0.25,28,normal
1/11/64,7.79,313.5,127.5,7,0,0.25,27.5,normal
2/11/64,7.77,308.5,119,7,0,0.25,28,warn
3/11/64,7.805,323,119,7.5,0,0.25,27.5,normal
4/11/64,7.83,322.5,119,7,0,0.25,27.5,normal
5/11/64,7.78,322,119,8,0,0.25,28,normal
6/11/64,7.78,332.5,119,7,0,0.25,28,normal
8/11/64,7.485,331,119,8,0.05,0.25,28.5,warn
9/11/64,7.755,326.5,119,8,0,0.25,28.5,normal
10/11/64,7.775,332.5,119,8,0.05,0.25,28,normal
11/11/64,7.805,322.5,119,8,0,0.25,28,normal
12/11/64,7.405,322,119,8,0,0.25,25,warn
13/11/64,7.095,320,136,7,0,0.25,26,warn
15/11/64,7.375,330.5,136,7,0,0.25,27,warn
16/11/64,7.305,323.5,136,7,0,0.25,28,warn
17/11/64,7.375,323,136,7,0,0.25,28.5,warn
18/11/64,7.605,333.5,136,7,0,0.25,28.5,normal
19/11/64,7.61,323,127.5,7,0,0.25,29.5,normal
20/11/64,7.84,321.5,136,7,0,0.25,31,warn
22/11/64,7.385,336,119,9.25,0,0.25,29,warn
23/11/64,7.635,332,119,8.5,0,0.25,28,normal
24/11/64,7.735,324,119,8.5,0,0.25,27,normal
25/11/64,7.77,331,119,8.5,0,0.25,25.5,normal
26/11/64,7.31,326,110.5,8,0,0.25,26,warn
29/11/64,7.46,323,127.5,8,0,0.25,27,warn
30/11/64,7.545,328,119,8,0,0.25,27.5,normal
1/12/64,7.775,330.5,127.5,8,0,0.25,26.5,normal
2/12/64,7.535,325.5,119,8.25,0,0.25,26,normal
3/12/64,7.735,332,119,8,0,0.25,25.5,normal
4/12/64,7.755,332,119,8,0,0.25,25.5,normal
7/12/64,7.755,330.5,119,8,0,0.25,26,normal
8/12/64,7.845,332.5,127.5,8,0,0.25,26.5,normal
9/12/64,7.76,332,119,8,0,0.25,27,normal
