date,ph_m,tds_m,alk_m,do_m,nitrite_m,ammonia_m ,temperature_m,ph_e,tds_e,alk_e,do_e,nitrite_e,ammonia_e ,temperature_e
14/9/64,7.88,342,136,8.00,0.00,0.25,30,8.14,339,136,8.00,0.00,0.25,31
15/9/64,8.17,349,136,8.00,0.00,0.25,29,8.21,357,136,8.00,0.00,0.25,31
16/9/64,8.22,352,136,8.00,0.00,0.25,28,8.25,358,136,8.00,0.00,0.25,30
17/9/64,8.26,356,136,8.00,0.00,0.25,28,8.17,347,136,8.00,0.00,0.25,30
18/9/64,8.19,357,136,8.00,0.00,0.25,28,8.14,344,136,8.00,0.00,0.25,31
19/9/64,8.20,355,136,8.00,0.00,0.25,28,8.24,352,136,8.00,0.00,0.25,31
20/9/64,8.15,357,136,8.00,0.00,0.25,28,8.22,357,136,8.00,0.00,0.25,29
21/9/64,8.09,361,136,8.00,0.00,0.25,28,8.12,361,136,8.00,0.00,0.25,29
22/9/64,8.11,359,136,8.00,0.00,0.25,28,8.06,356,136,8.00,0.00,0.25,29
23/9/64,7.79,364,136,8.00,0.00,0.25,28,7.96,367,136,8.00,0.00,0.25,29
24/9/64,7.84,386,136,8.00,0.00,0.25,28,7.92,384,136,8.00,0.00,0.25,29
25/9/64,7.99,395,136,8.00,0.00,0.25,29,7.97,395,136,8.00,0.00,0.25,28
27/9/64,7.94,397,136,8.00,0.00,0.25,27,8.03,395,136,8.00,0.00,0.25,29
28/9/64,8.04,383,136,8.00,0.00,0.25,31,8.09,394,136,8.00,0.00,0.25,29
29/9/64,8.05,390,136,8.00,0.00,0.25,29,7.95,395,136,8.00,0.00,0.25,30
30/9/64,7.90,390,136,8.00,0.00,0.25,29,7.90,396,136,8.00,0.00,0.25,30
1/10/64,7.90,394,136,8.00,0.00,0.25,29,7.94,397,136,8.00,0.00,0.25,30
2/10/64,7.96,397,136,8.00,0.00,0.25,29,7.90,393,136,8.00,0.00,0.25,31
5/10/64,7.75,387,136,8.00,0.00,0.25,29,8.19,402,136,8.00,0.00,0.25,31
7/10/64,7.72,387,136,8.00,0.00,0.25,29,8.19,415,136,8.00,0.00,0.25,29
8/10/64,7.78,391,136,8.00,0.00,0.25,29,8.02,403,136,8.00,0.00,0.25,30
9/10/64,7.90,395,136,8.00,0.00,0.25,30,8.30,409,136,8.00,0.00,0.25,30
13/10/64,8.14,409,136,8.00,0.00,0.25,29,8.14,420,136,8.00,0.00,0.25,29
14/10/64,7.71,416,136,8.00,0.00,0.25,29,7.98,415,136,8.00,0.00,0.25,29
15/10/64,8.04,408,136,8.00,0.00,0.25,29,8.03,446,136,8.00,0.00,0.25,29
16/10/64,7.79,421,136,8.00,0.00,0.25,29,8.07,425,136,8.00,0.00,0.25,29
19/10/64,7.85,439,136,8.00,0.00,0.25,29,8.02,419,136,8.00,0.00,0.25,30
20/10/64,7.90,453,136,8.00,0.00,0.25,29,8.05,413,136,8.00,0.00,0.25,27
21/10/64,7.62,320,119,8.00,0.00,0.00,29,7.63,327,136,10.50,0.00,0.00,30
22/10/64,7.49,308,136,6.00,0.10,0.25,29,7.58,312,136,8.00,0.00,0.25,30
25/10/64,7.80,312,136,6.00,0.10,0.00,29,7.85,311,136,8.00,0.00,0.25,30
26/10/64,7.92,303,136,6.00,0.00,0.25,29,7.98,318,136,8.00,0.00,0.25,30
27/10/64,7.87,307,136,6.00,0.00,0.25,29,7.84,329,136,8.00,0.00,0.25,27
28/10/64,7.56,302,136,6.00,0.00,0.25,29,7.85,327,136,10.00,0.00,0.25,27
29/10/64,7.85,316,136,6.00,0.00,0.25,28,7.87,317,136,8.00,0.00,0.25,27
30/10/64,7.84,315,136,9.50,0.00,0.25,29,7.92,328,119,8.00,0.00,0.25,27
1/11/64,7.79,308,136,6.00,0.00,0.25,28,7.79,319,119,8.00,0.00,0.25,27
2/11/64,7.72,302,119,6.00,0.00,0.25,29,7.82,315,119,8.00,0.00,0.25,27
3/11/64,7.81,320,119,9.00,0.00,0.25,28,7.80,326,119,6.00,0.00,0.25,27
4/11/64,7.79,320,119,8.00,0.00,0.25,28,7.87,325,119,6.00,0.00,0.25,27
5/11/64,7.83,322,119,8.00,0.00,0.25,28,7.73,322,119,8.00,0.00,0.25,28
6/11/64,7.77,336,119,8.00,0.00,0.25,28,7.79,329,119,6.00,0.00,0.25,28
8/11/64,7.25,334,119,8.00,0.10,0.25,28,7.72,328,119,8.00,0.00,0.25,29
9/11/64,7.64,331,119,8.00,0.00,0.25,28,7.87,322,119,8.00,0.00,0.25,29
10/11/64,7.73,337,119,8.00,0.10,0.25,28,7.82,328,119,8.00,0.00,0.25,28
11/11/64,7.78,326,119,8.00,0.00,0.25,28,7.83,319,119,8.00,0.00,0.25,28
12/11/64,7.74,325,119,8.00,0.00,0.25,24,7.07,319,119,8.00,0.00,0.25,26
13/11/64,7.12,320,136,6.00,0.00,0.25,26,7.07,317,136,8.00,0.00,0.25,26
15/11/64,7.31,327,136,6.00,0.00,0.25,27,7.44,334,136,8.00,0.00,0.25,27
16/11/64,7.27,324,136,6.00,0.00,0.25,28,7.34,323,136,8.00,0.00,0.25,28
