date_a,ph_a,tds_a,alk_a,do_a,nitrite_a,ammonia_a ,temperature_a
14/9/2021,8.0,340.5,136,8,0,0.25,30.5
15/9/2021,8.2,353,136,8,0,0.25,30
16/9/2021,8.2,355,136,8,0,0.25,29
17/9/2021,8.2,351.5,136,8,0,0.25,29
18/9/2021,8.2,350.5,136,8,0,0.25,29.5
19/9/2021,8.2,353.5,136,8,0,0.25,29.5
20/9/2021,8.2,357,136,8,0,0.25,28.5
21/9/2021,8.1,361,136,8,0,0.25,28.5
22/9/2021,8.1,357.5,136,8,0,0.25,28.5
23/9/2021,7.9,365.5,136,8,0,0.25,28.5
24/9/2021,7.9,385,136,8,0,0.25,28.5
25/9/2021,8.0,395,136,8,0,0.25,28.5
26/9/2021,8.0,396,136,8,0,0.25,28
27/9/2021,8.1,388.5,136,8,0,0.25,30
28/9/2021,8.0,392.5,136,8,0,0.25,29.5
29/9/2021,7.9,393,136,8,0,0.25,29.5
1/10/2021,7.9,395.5,136,8,0,0.25,29.5
2/10/2021,7.9,395,136,8,0,0.25,30
5/10/2021,8.0,394.5,136,8,0,0.25,30
7/10/2021,8.0,401,136,8,0,0.25,29
8/10/2021,7.9,397,136,8,0,0.25,29.5
9/10/2021,8.1,402,136,8,0,0.25,30
13/10/2021,8.1,414.5,136,8,0,0.25,29
14/10/2021,7.8,415.5,136,8,0,0.25,29
15/10/2021,8.0,427,136,8,0,0.25,29
16/10/2021,7.9,423,136,8,0,0.25,29
19/10/2021,7.9,429,136,8,0,0.25,29.5
20/10/2021,8.0,433,136,8,0,0.25,28
21/10/2021,7.6,323.5,127.5,9.25,0,0,29.5
22/10/2021,7.5,310,136,7,0.05,0.25,29.5
25/10/2021,7.8,311.5,136,7,0.05,0.125,29.5
26/10/2021,8.0,310.5,136,7,0,0.25,29.5
27/10/2021,7.9,318,136,7,0,0.25,28
28/10/2021,7.7,314.5,136,8,0,0.25,28
29/10/2021,7.9,316.5,136,7,0,0.25,27.5
30/10/2021,7.9,321.5,127.5,8.75,0,0.25,28
1/11/2021,7.8,313.5,127.5,7,0,0.25,27.5
2/11/2021,7.8,308.5,119,7,0,0.25,28
3/11/2021,7.8,323,119,7.5,0,0.25,27.5
4/11/2021,7.8,322.5,119,7,0,0.25,27.5
5/11/2021,7.8,322,119,8,0,0.25,28
6/11/2021,7.8,332.5,119,7,0,0.25,28
8/11/2021,7.5,331,119,8,0.05,0.25,28.5
9/11/2021,7.8,326.5,119,8,0,0.25,28.5
10/11/2021,7.8,332.5,119,8,0.05,0.25,28
11/11/2021,7.8,322.5,119,8,0,0.25,28
12/11/2021,7.4,322,119,8,0,0.25,25
13/11/2021,7.1,318.5,136,7,0,0.25,26
15/11/2021,7.4,330.5,136,7,0,0.25,27
16/11/2021,7.3,323.5,136,7,0,0.25,28
