date,ph_m,tds_m,alk_m,do_m,nitrite_m,ammonia_m ,temperature_m,ph_e,tds_e,alk_e,do_e,nitrite_e,ammonia_e ,temperature_e
44453,7.88,342,136,8,0,0.25,30,8.14,339,136,8,0,0.25,31
44454,8.17,349,136,8,0,0.25,29,8.21,357,136,8,0,0.25,31
44455,8.22,352,136,8,0,0.25,28,8.25,358,136,8,0,0.25,30
44456,8.26,356,136,8,0,0.25,28,8.17,347,136,8,0,0.25,30
44457,8.19,357,136,8,0,0.25,28,8.14,344,136,8,0,0.25,31
44458,8.2,355,136,8,0,0.25,28,8.24,352,136,8,0,0.25,31
44459,8.15,357,136,8,0,0.25,28,8.22,357,136,8,0,0.25,29
44460,8.09,361,136,8,0,0.25,28,8.12,361,136,8,0,0.25,29
44461,8.11,359,136,8,0,0.25,28,8.06,356,136,8,0,0.25,29
44462,7.79,364,136,8,0,0.25,28,7.96,367,136,8,0,0.25,29
44463,7.84,386,136,8,0,0.25,28,7.92,384,136,8,0,0.25,29
44464,7.99,395,136,8,0,0.25,29,7.97,395,136,8,0,0.25,28
44465,7.94,397,136,8,0,0.25,27,8.03,395,136,8,0,0.25,29
44466,8.04,383,136,8,0,0.25,31,8.09,394,136,8,0,0.25,29
44467,8.05,390,136,8,0,0.25,29,7.95,395,136,8,0,0.25,30
44468,7.9,390,136,8,0,0.25,29,7.9,396,136,8,0,0.25,30
44470,7.9,394,136,8,0,0.25,29,7.94,397,136,8,0,0.25,30
44471,7.96,397,136,8,0,0.25,29,7.9,393,136,8,0,0.25,31
44474,7.75,387,136,8,0,0.25,29,8.19,402,136,8,0,0.25,31
44476,7.72,387,136,8,0,0.25,29,8.19,415,136,8,0,0.25,29
44477,7.78,391,136,8,0,0.25,29,8.02,403,136,8,0,0.25,30
44478,7.9,395,136,8,0,0.25,30,8.3,409,136,8,0,0.25,30
44482,8.14,409,136,8,0,0.25,29,8.14,420,136,8,0,0.25,29
44483,7.71,416,136,8,0,0.25,29,7.98,415,136,8,0,0.25,29
44484,8.04,408,136,8,0,0.25,29,8.03,446,136,8,0,0.25,29
44485,7.79,421,136,8,0,0.25,29,8.07,425,136,8,0,0.25,29
44488,7.85,439,136,8,0,0.25,29,8.02,419,136,8,0,0.25,30
44489,7.9,453,136,8,0,0.25,29,8.05,413,136,8,0,0.25,27
44490,7.62,320,119,8,0,0,29,7.63,327,136,10.5,0,0,30
44491,7.49,308,136,6,0.1,0.25,29,7.58,312,136,8,0,0.25,30
44494,7.8,312,136,6,0.1,0,29,7.85,311,136,8,0,0.25,30
44495,7.92,303,136,6,0,0.25,29,7.98,318,136,8,0,0.25,30
44496,7.87,307,136,6,0,0.25,29,7.84,329,136,8,0,0.25,27
44497,7.56,302,136,6,0,0.25,29,7.85,327,136,10,0,0.25,27
44498,7.85,316,136,6,0,0.25,28,7.87,317,136,8,0,0.25,27
44499,7.84,315,136,9.5,0,0.25,29,7.92,328,119,8,0,0.25,27
44501,7.79,308,136,6,0,0.25,28,7.79,319,119,8,0,0.25,27
44502,7.72,302,119,6,0,0.25,29,7.82,315,119,8,0,0.25,27
44503,7.81,320,119,9,0,0.25,28,7.8,326,119,6,0,0.25,27
44504,7.79,320,119,8,0,0.25,28,7.87,325,119,6,0,0.25,27
44505,7.83,322,119,8,0,0.25,28,7.73,322,119,8,0,0.25,28
44506,7.77,336,119,8,0,0.25,28,7.79,329,119,6,0,0.25,28
44508,7.25,334,119,8,0.1,0.25,28,7.72,328,119,8,0,0.25,29
44509,7.64,331,119,8,0,0.25,28,7.87,322,119,8,0,0.25,29
44510,7.73,337,119,8,0.1,0.25,28,7.82,328,119,8,0,0.25,28
44511,7.78,326,119,8,0,0.25,28,7.83,319,119,8,0,0.25,28
44512,7.74,325,119,8,0,0.25,24,7.07,319,119,8,0,0.25,26
44513,7.12,320,136,6,0,0.25,26,7.07,317,136,8,0,0.25,26
44515,7.31,327,136,6,0,0.25,27,7.44,334,136,8,0,0.25,27
44516,7.27,324,136,6,0,0.25,28,7.34,323,136,8,0,0.25,28
